Model,Train Time (s),Train Anomaly Rate (%),Val Anomaly Rate (%),Train Anomalies,Val Anomalies,Rate Consistency
One-Class SVM,34.418,1.0,1.02,1191,173,0.016769719350102963
Elliptic Envelope,2.076,1.0,1.15,1193,196,0.15015560999191413
DBSCAN,1.436,99.81,100.0,118977,17029,0.18875522222781171
Isolation Forest,0.852,1.0,1.2,1193,205,0.20300662884211085
Local Outlier Factor,5.818,0.83,1.22,987,207,0.3875671920485094
